Record_ID,Plant_ID,TS,PM2.5,SO2,NOx,Unit,"Lat,Lon",Status
E20166,PL-10,2026-01-02 03:40,99.1,23.4,72.6,µg/m³,"13.3178,81.416",fault
E20167,PL-15,2026-01-02 03:50,57.1,28.8,62.0,UG/M3,"13.8693,81.4288",Ok
E20168,PL-18,2026-01-02 04:00,87.0,36.5,80.3,mg/nm3,"13.9452,80.9541",Fault
E20169,PL-07,2026-01-02 04:10,119.0,36.1,72.5,Ug/M3,"13.0925,80.2137", ok
E20170,PL-18,2026-01-02 04:20,114.3,35.0,80.5,MG/NM3,"14.1269,81.3116", FAULT
E20171,PL-17,2026-01-02 04:30,102.1,33.2,1010.8,UG/m3,"13.2288,79.3675",Fault
E20172,PL-12,2026-01-02 04:40,116.5,24.7,73.9,UG/m3,"13.6063,79.8699",MAINTENANCE
E20173,PL-01,2026-01-02 04:50,113.4,33.1,108.3,mg/nm3,"12.5381,79.0901", FAULT
E20174,PL-03,2026-01-02 05:00,4.7,36.8,88.3,ug/m³,"14.4541,79.181",ok 
E20175,PL-13,2026-01-02 05:10,118.3,33.8,79.3,mg/nm3,,FAULT
E20176,PL-19,2026-01-02 05:20,124.1,45.2,85.3,mg/nm3,"12.888,79.4628", OK 
E20177,PL-09,2026-01-02 05:30,4.2,36.6,89.8,UG/m3,"14.1598,80.1334", OK 
E20178,PL-16,2026-01-02 05:40,112.1,37.2,78.3,mg/nm3,"12.755,79.2753", FAULT
E20179,PL-06,2026-01-02 05:50,100.5,37.1,92.4,UG/m3,"13.9426,80.3326", maint 
E20180,PL-11,2026-01-02 06:00,135.6,29.0,71.6,Ug/M3,"13.0528,79.3595", ok
E20181,PL-09,2026-01-02 06:10,92.8,30.6,72.5,UG/M3,"13.5957,81.0525",ok
E20182,PL-06,2026-01-02 06:20,108.6,34.6,77.4,ug/m3,"12.657,80.8181",ok 
E20183,PL-01,2026-01-02 06:30,103.7,42.1,74.9,ug/m³,"13.3828,79.5889", ok
E20184,PL-08,2026-01-02 06:40,107.3,35.1,-81.5,Ug/M3,"13.4162,80.4545",maintenance
E20185,PL-19,2026-01-02 06:50,111.4,28.0,93.1,µg/m³,"12.8908,80.2995",ok 
E20186,PL-16,2026-01-02 07:00,118.8,41.2,76.1,ug/m3,"14.2574,79.0784",Ok
E20187,PL-16,2026-01-02 07:10,101.7,34.4,90.2,ug/m³,"12.591,79.7368",MAINTENANCE
E20188,PL-14,2026-01-02 07:20,108.4,37.6,86.5,UG/m3,"13.5066,81.3267",FAULT
E20189,PL-01,2026-01-02 07:30,101.8,34.0,86.8,UG/m3,"13.9204,80.9301",ok 
E20190,PL-08,2026-01-02 07:40,-98.4,36.0,86.3,MG/NM3,"14.4444,79.4428", maint 
E20191,PL-01,2026-01-02 07:50,130.5,42.6,64.2,mg/Nm3,"12.6109,81.2568",Fault
E20192,PL-03,2026-01-02 08:00,103.5,37.3,,UG/m3,"13.8204,81.2734",Fault
E20193,PL-14,2026-01-02 24:20,103.4,34.6,-49.16,mg/nm3,"14.1695,80.9328", maint 
E20194,PL-08,2026-01-02 08:20,79.5,30.5,67.5,mg/nm3,"12.5512,80.2145",Ok
E20195,PL-18,2026-01-02 08:30,99.9,33.2,93.1,MG/NM3,"13.2995,80.2117",Maint
E20196,PL-20,2026-01-02 08:40,-130.9,35.9,78.4,ug/m3,"12.8496,80.0329",maintenance
E20197,PL-13,2026-01-02 08:50,105.6,30.1,58.7,mg/Nm3,"12.7516,80.7152",OK
E20198,PL-11,2026-01-02 09:00,110.3,,69.0,mg/nm3,"12.8346,80.9001", ok
E20199,PL-02,2026-01-02 09:10,80.2,28.1,85.0,mg/Nm3,"13.3028,81.3006",Maint
E20200,PL-15,2026-01-02 09:20,95.8,31.8,66.0,MG/NM3,"13.4989,79.0142", ok
E20201,PL-04,2026-01-02 09:30,-116.3,41.0,69.0,ug/m3,"14.2181,81.0736",fault
E20202,PL-15,2026-01-02 09:40,88.5,38.3,59.8,mg/Nm3,"13.2841,80.163",Maint
E20203,PL-07,02-01-2026 24:50,121.1,43.1,70.4,ug/m3,"13.3381,79.7148",MAINT
E20204,PL-05,2026-01-02 10:00,74.6,32.7,-86.4,mg/nm3,"13.728,79.3206",MAINTENANCE
E20205,PL-19,02-01-2026 24:10,93.5,30.1,56.7,MG/NM3,"13.932,81.3551", FAULT
E20206,PL-08,02-01-2026 24:20,115.8,35.0,,MG/NM3,"13.5507,80.4471", OK 
E20207,PL-04,2026-01-02 10:30,-77.3,28.7,44.0,Ug/M3,"12.763,79.0637",maintenance
E20208,PL-02,2026-01-02 10:40,87.3,27.7,78.1,µg/m³,"12.9599,79.7961",--
E20209,PL-20,2026-01-02 10:50,94.5,32.8,85.0,mg/nm3,"13.9207,81.0277",maint
E20210,PL-20,2026-01-02 11:00+05:30,89.4,31.9,52.5,mg/nm3,"13.5539,81.3431",MAINT
E20211,PL-12,2026-01-02 11:10,78.3,30.7,52.9,Ug/M3,"13.0181,80.6431",ok 
E20212,PL-02,2026-01-02 11:20,66.2,28.6,61.4,UG/m3,"14.2015,81.4672",Ok
E20213,PL-03,2026-01-02 11:30,79.6,18.5,80.4,Ug/M3,"13.3627,81.289", OK 
E20214,PL-05,2026-01-02 11:40,75.3,23.3,59.3,ug/m3,"13.3014,79.5287",FAULT
E20215,PL-14,2026-01-02 11:50,69.6,25.7,64.1,UG/M3,"13.2261,79.1038",OK
E20216,PL-14,2026-01-02 12:00,76.3,29.9,55.6,Ug/M3,"12.5986,81.4743",Fault
E20217,PL-05,2026-01-02 12:10,63.2,21.8,41.4,µg/m³,"13.3957,81.2167",MAINT
E20218,PL-18,2026-01-02 12:20,88.6,13.3,64.2,mg/Nm3,"13.1956,81.0582",Ok
E20219,PL-20,2026-01-02 12:30,80.9,27.3,51.1,UG/M3,"14.1067,80.907", OK 
E20220,PL-04,2026-01-02 12:40,81.8,22.7,35.6,mg/Nm3,"12.9192,81.2302",ok
E20221,PL-02,02-01-2026 24:50,54.7,29.6,45.6,mg/Nm3,"14.1463,80.9814",MAINTENANCE
E20222,PL-04,2026-01-02 13:00,48.8,19.8,17.2,UG/m3,"13.7086,80.4489",MAINT
E20223,PL-02,2026-01-02 13:10,58.6,16.9,38.0,ug/m³,"14.382,80.8385", maint 
E20224,PL-18,2026-01-02 13:20,34.4,22.8,47.0,MG/NM3,"13.1873,79.433",OK
E20225,PL-12,2026-01-02 13:30,37.6,21.1,37.7,mg/nm3,"13.687,79.4289",Maint
E20226,PL-14,2026-01-02 13:40,65.8,29.0,37.5,Ug/M3,"13.6913,79.5358",OK
E20227,PL-14,2026-01-02 13:50,-81.9,21.1,36.8,ug/m3,"14.4085,79.1098",maintenance
E20228,PL-01,2026-01-02 14:00,48.0,24.0,29.2,UG/M3,"12.8031,80.9488",maint
E20229,PL-12,2026-01-02 14:10,15.3,25.8,24.9,mg/Nm3,"13.7789,79.5087", maint 
E20230,PL-16,2026-01-02 14:20,3.6,24.0,32.9,Ug/M3,"13.0823,79.88",MAINT
E20231,PL-13,2026-01-02 14:30,74.3,24.2,42.5,UG/m3,"13.9825,79.6537",fault
E20232,PL-04,2026-01-02 14:40,38.3,16.2,35.6,mg/nm3,"13.8714,80.2088",OK
E20233,PL-19,2026-01-02 14:50,39.9,17.2,19.7,mg/Nm3,"12.6365,79.4705", maint 
E20234,PL-08,2026-01-02 15:00,34.0,,12.3,MG/NM3,"13.77,80.6219",maintenance
E20235,PL-16,2026-01-02 15:10,52.3,15.8,39.1,Ug/M3,"12.6913,80.8921",Maint
E20236,PL-05,2026-01-02 15:20,27.4,11.4,19.6,UG/m3,"13.1619,80.2783",ok
E20237,PL-12,02-01-2026 24:30,42.5,,21.8,mg/Nm3,"12.8226,79.6824", ok
E20238,PL-04,2026-01-02 15:40,34.6,27.5,28.7,ug/m³,"13.1289,80.391",OK
E20239,PL-05,2026-01-02 15:50,43.4,14.2,29.4,ug/m³,"12.6949,81.0471", FAULT
E20240,PL-14,2026-01-02 16:00,,,44.8,MG/NM3,"13.4088,81.3745",Fault
E20241,PL-01,2026-01-02 16:10,11.2,14.3,19.3,mg/Nm3,"12.7092,80.4198",MAINTENANCE
E20242,PL-06,2026-01-02 16:20,51.8,16.9,,mg/nm3,"14.1689,80.9643",ok
E20243,PL-17,2026-01-02 16:30,40.0,23.4,28.0,µg/m³,"13.601,79.9236",ok 
E20244,PL-11,2026-01-02 16:40,6.7,18.6,21.4,mg/nm3,"14.0634,79.0848", OK 
E20245,PL-15,02-01-2026 16:50,36.4,24.3,25.3,Ug/M3,"13.1434,80.7767",Ok
E20246,PL-11,2026-01-02 17:00,4.3,18.4,13.9,MG/NM3,"12.5815,81.2565", maint 
E20247,PL-12,2026-01-02 17:10,-41.9,11.3,-18.2,mg/Nm3,"13.0826,79.3977",0
E20248,PL-20,2026-01-02 17:20,,19.6,27.2,UG/M3,, maint 
E20249,PL-17,2026-01-02 17:30,30.4,12.5,15.1,Ug/M3,"13.7974,79.1421",fault
E20250,PL-20,2026-01-02 17:40,11.6,10.5,13.6,UG/M3,"13.6308,79.8665",ok 
E20251,PL-09,2026-01-02 17:50,27.2,24.7,16.0,MG/NM3,"13.1592,81.0875",OK
E20252,PL-05,2026-01-02 18:00,18.6,6.8,0.0,Ug/M3,"14.088,81.4866",Ok
E20253,PL-02,2026-01-02 18:10 UTC,0.0,15.3,22.3,Ug/M3,"13.1113,79.6397", ok
E20254,PL-17,2026-01-02 18:20,18.0,9.9,15.9,mg/Nm3,"13.3733,79.8318",Maint
E20255,PL-10,2026-01-02 18:30,15.9,15.6,19.5,Ug/M3,,ok
E20256,PL-08,2026-01-02 18:40,25.7,21.1,9.3,mg/nm3,"14.194,80.035",FAULT
E20257,PL-10,2026-01-02 18:50,17.6,5.8,16.5,UG/M3,"14.01,81.1926",maint
E20258,PL-10,2026-01-02 19:00,44.8,12.8,20.0,MG/NM3,"13.3174,80.8846", maint 
