Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat_Lon,Source_Type,PM25_Filled,SO2_Filled,NOx_Filled,Exceedance_Flag
E00036,PL-03,S-03,3070.8,2025-01-01 00:45:00,14.85,2.48,221.98,ug/m3,OK,"12.9712,77.5938",Stack,False,False,False,OK
E00037,LOC-DEL-01,A-01,0.0,2025-01-01 00:45:00,95.3,180.5,145.6,ug/m3,MAINT,"28.6129,77.2098",Ambient,False,False,False,EXCEEDANCE
E00038,LOC-DEL-02,A-02,0.0,2025-01-01 00:45:00,273.8,590.25,267.0,ug/m3,FAULT,"28.6202,77.2155",Ambient,False,True,False,EXCEEDANCE
E00039,LOC-MUM-01,A-01,,2025-01-01 00:45:00,153.73,160.0,93.24,ug/m3,MAINT,"19.0759,72.8785",Ambient,False,False,False,EXCEEDANCE
E00040,LOC-BLR-01,A-01,0.0,2025-01-01 00:45:00,119.9,128.4,73.4,ug/m3,OK,"12.9712,77.5956",Ambient,False,True,False,EXCEEDANCE
E00041,PL-01,S-01,4573.4,2025-01-01 01:00:00,74.02,1.47,80.49,ug/m3,OK,"13.0823,80.2706",Stack,False,False,False,OK
E00042,PL-01,S-02,2831.9,2025-01-01 01:00:00,149.18,102.45,267.0,ug/m3,MAINT,"13.0838,80.2721",Stack,False,False,False,OK
E00043,PL-02,S-01,3225.3,2025-01-01 01:00:00,133.81,2.86,48.95,ug/m3,MAINT,"19.0763,72.8767",Stack,False,False,False,OK
E00044,PL-03,S-01,2121.5,2025-01-01 01:00:00,273.8,275.7,267.0,ug/m3,MAINT,"12.9714,77.5939",Stack,False,False,False,EXCEEDANCE
E00045,PL-03,S-02,3324.2,2025-01-01 01:00:00,2.4,81.8,2.4,ug/m3,MAINT,"12.9718,77.5948",Stack,False,False,False,OK
E00046,PL-03,S-03,3430.7,2025-01-01 01:00:00,273.8,275.7,267.0,ug/m3,OK,"12.9723,77.5954",Stack,False,False,False,EXCEEDANCE
E00047,LOC-DEL-01,A-01,0.0,2025-01-01 01:00:00,77.3,135.6,196.5,ug/m3,OK,"28.6147,77.2091",Ambient,False,False,False,EXCEEDANCE
E00048,LOC-DEL-02,A-02,0.0,2025-01-01 01:00:00,169.9,170.4,50.61,ug/m3,OK,"28.6201,77.2141",Ambient,False,False,False,EXCEEDANCE
E00049,LOC-MUM-01,A-01,,2025-01-01 01:00:00,173.14,92.65,188.14,ug/m3,MAINT,"19.0754,72.8774",Ambient,False,False,False,EXCEEDANCE
E00050,LOC-BLR-01,A-01,0.0,2025-01-01 01:00:00,52.8,136.2,110.6,ug/m3,MAINT,"12.9713,77.5936",Ambient,False,False,False,EXCEEDANCE
E00051,PL-01,S-01,4833.8,2025-01-01 01:15:00,63.33,39.71,116.86,ug/m3,MAINT,"13.0827,80.2704",Stack,False,False,False,OK
E00052,PL-01,S-02,2498.7,2025-01-01 01:15:00,201.84,44.8,86.29666666666667,ug/m3,OK,"13.0839,80.271",Stack,False,False,True,EXCEEDANCE
E00053,PL-02,S-01,1430.8,2025-01-01 01:15:00,84.48,88.38,38.67,ug/m3,FAULT,"19.0751,72.8772",Stack,False,False,False,OK
E00054,PL-03,S-01,4752.0,2025-01-01 01:15:00,273.8,275.7,267.0,ug/m3,OK,"12.972,77.5939",Stack,False,False,False,EXCEEDANCE
E00055,PL-03,S-02,4963.3,2025-01-01 01:15:00,119.0,65.9,120.5,ug/m3,FAULT,"12.9722,77.5949",Stack,False,False,False,OK
E00056,PL-03,S-03,3397.2,2025-01-01 01:15:00,39.6,137.72,213.07,ug/m3,MAINT,"12.9715,77.5945",Stack,False,False,False,OK
E00057,LOC-DEL-01,A-01,,2025-01-01 01:15:00,128.5,304.7,142.2,ug/m3,OK,"28.6148,77.2092",Ambient,False,False,False,EXCEEDANCE
E00058,LOC-DEL-02,A-02,0.0,2025-01-01 01:15:00,81.62,232.12,101.92,ug/m3,FAULT,"28.6204,77.2154",Ambient,False,False,False,EXCEEDANCE
E00059,LOC-MUM-01,A-01,,2025-01-01 01:15:00,205.59,174.41,69.02,ug/m3,OK,"19.077,72.878",Ambient,False,False,False,EXCEEDANCE
E00060,LOC-BLR-01,A-01,,2025-01-01 01:15:00,150.0,138.8,0.8,ug/m3,FAULT,"12.9721,77.5941",Ambient,False,False,False,EXCEEDANCE
E00061,PL-01,S-01,3256.1,2025-01-01 01:30:00,0.49,160.88,20.29,ug/m3,MAINT,"13.0824,80.2701",Stack,False,False,False,OK
E00062,PL-01,S-02,4283.8,2025-01-01 01:30:00,160.92,199.08,128.27,ug/m3,OK,"13.0823,80.2712",Stack,False,False,False,EXCEEDANCE
E00063,PL-02,S-01,1664.0,2025-01-01 01:30:00,200.38,67.24,110.29,ug/m3,MAINT,"19.077,72.8774",Stack,False,False,False,EXCEEDANCE
E00064,PL-03,S-01,4205.7,2025-01-01 01:30:00,223.45,37.64,142.18,ug/m3,FAULT,"12.9712,77.5939",Stack,False,False,False,EXCEEDANCE
E00065,PL-03,S-02,4471.6,2025-01-01 01:30:00,248.9,115.9,269.0,ug/m3,FAULT,"12.972,77.5942",Stack,False,False,False,EXCEEDANCE
E00066,PL-03,S-03,2274.0,2025-01-01 01:30:00,94.06,52.18,181.58,ug/m3,OK,"12.9727,77.5955",Stack,False,False,False,OK
E00067,LOC-DEL-01,A-01,,2025-01-01 01:30:00,60.6,48.8,38.8,ug/m3,MAINT,"28.614,77.2096",Ambient,False,False,False,EXCEEDANCE
E00068,LOC-DEL-02,A-02,0.0,2025-01-01 01:30:00,143.13,153.84,88.38,ug/m3,OK,"28.621,77.2154",Ambient,False,False,False,EXCEEDANCE
E00069,LOC-MUM-01,A-01,,2025-01-01 01:30:00,122.45,68.24,1.08,ug/m3,FAULT,"19.0757,72.8784",Ambient,False,False,False,EXCEEDANCE
E00070,LOC-BLR-01,A-01,,2025-01-01 01:30:00,207.6,67.3,267.0,ug/m3,MAINT,"12.9706,77.5948",Ambient,False,False,False,EXCEEDANCE
E00071,PL-01,S-01,2929.8,2025-01-01 01:45:00,273.8,275.7,267.0,ug/m3,OK,"13.0824,80.2704",Stack,False,False,False,EXCEEDANCE
E00072,PL-01,S-02,3545.9,2025-01-01 01:45:00,273.8,275.7,267.0,ug/m3,FAULT,"13.0821,80.2719",Stack,False,False,False,EXCEEDANCE
E00073,PL-02,S-01,1781.2,2025-01-01 01:45:00,137.24,92.29,130.67,ug/m3,MAINT,"19.0751,72.8782",Stack,False,False,False,OK
E00074,PL-03,S-01,1846.1,2025-01-01 01:45:00,163.18,99.73,51.91,ug/m3,FAULT,"12.9724,77.5947",Stack,False,False,False,EXCEEDANCE
E00075,PL-03,S-02,3247.1,2025-01-01 01:45:00,136.8,78.3,267.0,ug/m3,OK,"12.9713,77.5948",Stack,False,False,False,OK
E00076,PL-03,S-03,1941.1,2025-01-01 01:45:00,75.84,158.81,267.0,ug/m3,MAINT,"12.9721,77.5945",Stack,False,False,False,OK
E00077,LOC-DEL-01,A-01,0.0,2025-01-01 01:45:00,115.1,177.7,164.6,ug/m3,MAINT,"28.6143,77.2081",Ambient,False,False,False,EXCEEDANCE
E00078,LOC-DEL-02,A-02,,2025-01-01 01:45:00,232.22,218.69,108.99,ug/m3,FAULT,"28.6203,77.2148",Ambient,False,False,False,EXCEEDANCE
E00079,LOC-MUM-01,A-01,,2025-01-01 01:45:00,133.92,41.47,82.75,ug/m3,MAINT,"19.0763,72.8771",Ambient,False,False,False,EXCEEDANCE
E00080,LOC-BLR-01,A-01,,2025-01-01 01:45:00,158.9857142857143,127.6,105.7,ug/m3,OK,"12.9709,77.5955",Ambient,True,False,False,EXCEEDANCE
E00081,PL-01,S-01,2829.5,2025-01-01 02:00:00,87.25,130.2,267.0,ug/m3,FAULT,"13.0831,80.2714",Stack,False,False,False,OK
E00082,PL-01,S-02,4183.1,2025-01-01 02:00:00,89.39,144.49,174.51333333333335,ug/m3,OK,"13.0825,80.2718",Stack,False,False,True,OK
E00083,PL-02,S-01,3260.3,2025-01-01 02:00:00,82.57,149.33,154.19,ug/m3,MAINT,"19.0763,72.8787",Stack,False,False,False,OK
E00084,PL-03,S-01,3519.9,2025-01-01 02:00:00,111.0,1.55,143.64,ug/m3,FAULT,"12.9714,77.5947",Stack,False,False,False,OK
E00085,PL-03,S-02,3144.0,2025-01-01 02:00:00,84.7,110.9,125.1,ug/m3,FAULT,"12.9727,77.5949",Stack,False,False,False,OK
E00086,PL-03,S-03,1844.9,2025-01-01 02:00:00,139.6,40.1,142.87,ug/m3,MAINT,"12.9718,77.5952",Stack,False,False,False,OK
E00087,LOC-DEL-01,A-01,0.0,2025-01-01 02:00:00,61.6,78.7,146.3,ug/m3,OK,"28.6139,77.209",Ambient,False,False,False,EXCEEDANCE
E00088,LOC-DEL-02,A-02,,2025-01-01 02:00:00,129.8,75.35,18.48,ug/m3,MAINT,"28.6195,77.2159",Ambient,False,False,False,EXCEEDANCE
E00089,LOC-MUM-01,A-01,0.0,2025-01-01 02:00:00,163.63,136.76,80.69,ug/m3,FAULT,"19.0756,72.8783",Ambient,False,False,False,EXCEEDANCE
E00090,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00091,PL-01,S-01,4034.4,2025-01-01 00:15:00,103.73,184.02,1.96,ug/m3,MAINT,"13.0824,80.2717",Stack,False,True,False,OK
E00092,PL-01,S-02,1617.1,2025-01-01 02:15:00,151.33,185.61,154.18,ug/m3,MAINT,"13.0828,80.2716",Stack,False,False,False,EXCEEDANCE
E00093,PL-02,S-01,3934.5,2025-01-01 02:15:00,178.95,,63.9,ug/m3,OK,"19.0767,72.8776",Stack,False,False,False,EXCEEDANCE
E00094,PL-03,S-01,1255.6,2025-01-01 02:15:00,231.18,35.0,267.0,ug/m3,MAINT,"12.9717,77.5952",Stack,False,False,False,EXCEEDANCE
E00095,PL-03,S-02,3516.9,2025-01-01 02:15:00,35.6,123.5,18.7,ug/m3,FAULT,"12.9721,77.5954",Stack,False,False,False,OK
E00096,PL-03,S-03,2494.5,2025-01-01 02:15:00,254.06,146.44,203.27,ug/m3,FAULT,"12.9718,77.5948",Stack,False,False,False,EXCEEDANCE
E00097,LOC-DEL-01,A-01,0.0,2025-01-01 02:15:00,144.3,44.3,154.10000000000002,ug/m3,OK,"28.6131,77.2089",Ambient,False,False,True,EXCEEDANCE
E00098,LOC-DEL-02,A-02,,2025-01-01 02:15:00,140.81,123.03,182.63,ug/m3,OK,"28.6196,77.215",Ambient,False,False,False,EXCEEDANCE
E00099,LOC-MUM-01,A-01,0.0,2025-01-01 02:15:00,145.0,180.78,119.9,ug/m3,OK,"19.0765,72.8775",Ambient,False,False,False,EXCEEDANCE
E00100,LOC-BLR-01,A-01,,2025-01-01 02:15:00,261.4,71.7,140.5,ug/m3,FAULT,"12.9713,77.5945",Ambient,False,False,False,EXCEEDANCE
E00101,PL-01,S-01,2159.6,2025-01-01 02:30:00,124.61,113.53,34.8,ug/m3,MAINT,"13.0823,80.2716",Stack,False,False,False,OK
E00102,PL-01,S-02,3619.6,2025-01-01 02:30:00,75.1,275.7,133.78,ug/m3,FAULT,"13.084,80.2708",Stack,False,False,False,EXCEEDANCE
E00103,PL-02,S-01,3640.0,2025-01-01 02:30:00,192.1,120.86,163.43,ug/m3,MAINT,"19.0755,72.878",Stack,False,False,False,EXCEEDANCE
E00104,PL-03,S-01,2205.4,2025-01-01 02:30:00,273.8,275.7,267.0,ug/m3,MAINT,"12.9723,77.5938",Stack,False,False,False,EXCEEDANCE
E00105,PL-03,S-02,2014.0,2025-01-01 02:30:00,120.0,155.7,155.1,ug/m3,FAULT,"12.9717,77.5951",Stack,True,False,False,OK
E00106,PL-03,S-03,2406.1,2025-01-01 02:30:00,101.29,2.48,36.34,ug/m3,MAINT,"12.9724,77.5939",Stack,False,False,False,OK
E00107,LOC-DEL-01,A-01,,2025-01-01 02:30:00,14.9,32.8,140.5,ug/m3,MAINT,"28.6134,77.2082",Ambient,False,False,False,EXCEEDANCE
E00108,LOC-DEL-02,A-02,0.0,2025-01-01 02:30:00,111.72,108.48,175.64,ug/m3,FAULT,"28.6199,77.2156",Ambient,False,False,True,EXCEEDANCE
E00109,LOC-MUM-01,A-01,0.0,2025-01-01 02:30:00,194.12,171.57,109.71,ug/m3,FAULT,"19.077,72.8777",Ambient,False,False,False,EXCEEDANCE
E00110,LOC-BLR-01,A-01,,2025-01-01 02:30:00,82.8,140.5,267.0,ug/m3,MAINT,"12.9717,77.5936",Ambient,False,False,False,EXCEEDANCE
E00111,PL-01,S-01,3222.8,2025-01-01 02:45:00,273.8,275.7,267.0,ug/m3,MAINT,"13.083,80.2715",Stack,False,False,False,EXCEEDANCE
E00112,PL-01,S-02,1274.5,2025-01-01 02:45:00,273.8,275.7,267.0,ug/m3,FAULT,"13.0834,80.2713",Stack,False,False,False,EXCEEDANCE
E00113,PL-02,S-01,4873.5,2025-01-01 02:45:00,175.52,198.57,86.06,ug/m3,FAULT,"19.0765,72.8769",Stack,False,False,True,EXCEEDANCE
E00114,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00115,PL-03,S-02,1579.6,2025-01-01 02:45:00,114.4,74.9,166.2,ug/m3,OK,"12.9718,77.5941",Stack,False,False,False,OK
E00116,PL-03,S-03,4052.2,2025-01-01 02:45:00,213.47,133.07,2.48,ug/m3,FAULT,"12.9722,77.5943",Stack,False,False,False,EXCEEDANCE
E00117,LOC-DEL-01,A-01,,2025-01-01 02:45:00,45.6,133.5,122.4,ug/m3,MAINT,"28.614,77.2089",Ambient,False,False,False,EXCEEDANCE
E00118,LOC-DEL-02,A-02,,2025-01-01 02:45:00,156.36,143.23,168.65,ug/m3,MAINT,"28.6193,77.2141",Ambient,False,False,True,EXCEEDANCE
E00119,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00120,LOC-BLR-01,A-01,,2025-01-01 02:45:00,188.3,124.9,199.6,ug/m3,OK,"12.9724,77.5943",Ambient,False,False,False,EXCEEDANCE
E00121,PL-01,S-01,3758.2,2025-01-01 03:00:00,124.9,130.29,1.96,ug/m3,OK,"13.0818,80.2709",Stack,False,False,False,OK
E00122,PL-01,S-02,4377.7,2025-01-01 03:00:00,273.8,275.7,267.0,ug/m3,OK,"13.083,80.2712",Stack,False,False,False,EXCEEDANCE
E00123,PL-02,S-01,2711.2,2025-01-01 03:00:00,230.67,221.9,267.0,ug/m3,FAULT,"19.0768,72.8768",Stack,False,False,False,EXCEEDANCE
E00124,PL-03,S-01,1283.0,2025-01-01 03:00:00,168.55,121.55,14.45,ug/m3,OK,"12.9713,77.5952",Stack,False,False,False,EXCEEDANCE
E00125,PL-03,S-02,2909.3,2025-01-01 03:00:00,118.26,64.2,2.4,ug/m3,OK,"12.9713,77.5951",Stack,True,False,False,OK
E00126,PL-03,S-03,2886.1,2025-01-01 03:00:00,2.48,,97.52,ug/m3,OK,"12.9724,77.594",Stack,False,False,False,OK
E00127,LOC-DEL-01,A-01,,2025-01-01 03:00:00,98.9,104.9,177.5,ug/m3,OK,"28.614,77.2084",Ambient,False,False,False,EXCEEDANCE
E00128,LOC-DEL-02,A-02,0.0,2025-01-01 03:00:00,41.72,131.11,85.56,ug/m3,MAINT,"28.6204,77.2159",Ambient,False,False,False,EXCEEDANCE
E00129,LOC-MUM-01,A-01,,2025-01-01 03:00:00,137.25,1.08,68.92,ug/m3,FAULT,"19.0765,72.8772",Ambient,False,False,False,EXCEEDANCE
E00130,LOC-BLR-01,A-01,,2025-01-01 03:00:00,174.63333333333335,104.0,138.4,ug/m3,OK,"12.9718,77.5947",Ambient,True,False,False,EXCEEDANCE
E00131,PL-01,S-01,2046.0,2025-01-01 03:15:00,164.22,112.94,134.61,ug/m3,OK,"13.083,80.2706",Stack,False,False,False,EXCEEDANCE
E00132,PL-01,S-02,3637.7,2025-01-01 03:15:00,138.06,159.59,174.59,ug/m3,MAINT,"13.0824,80.2706",Stack,False,False,False,OK
E00133,PL-02,S-01,2160.5,2025-01-01 03:15:00,273.8,275.7,267.0,ug/m3,MAINT,"19.076,72.8777",Stack,False,False,False,EXCEEDANCE
E00134,PL-03,S-01,2447.2,2025-01-01 03:15:00,76.91,182.82,120.36,ug/m3,OK,"12.9706,77.5939",Stack,False,False,False,OK
E00135,PL-03,S-02,2419.8,2025-01-01 03:15:00,78.7,119.3,2.4,ug/m3,MAINT,"12.9714,77.5954",Stack,False,False,False,OK
E00136,PL-03,S-03,2077.8,2025-01-01 03:15:00,76.83,26.53,68.71,ug/m3,MAINT,"12.9728,77.594",Stack,False,False,False,OK
E00137,LOC-DEL-01,A-01,0.0,2025-01-01 03:15:00,35.7,275.7,143.3,ug/m3,MAINT,"28.6136,77.2081",Ambient,False,False,False,EXCEEDANCE
E00138,LOC-DEL-02,A-02,,2025-01-01 03:15:00,120.3,88.99,60.0,ug/m3,FAULT,"28.6205,77.2155",Ambient,False,False,False,EXCEEDANCE
E00139,LOC-MUM-01,A-01,0.0,2025-01-01 03:15:00,193.82,80.69,145.2,ug/m3,MAINT,"19.0759,72.8769",Ambient,False,False,False,EXCEEDANCE
E00140,LOC-BLR-01,A-01,,2025-01-01 03:15:00,14.8,135.8,75.2,ug/m3,MAINT,"12.972,77.5952",Ambient,False,False,False,EXCEEDANCE
E00141,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00142,PL-01,S-02,3597.3,2025-01-01 03:30:00,238.68,99.59,2.35,ug/m3,OK,"13.0822,80.2702",Stack,True,False,False,EXCEEDANCE
E00143,PL-02,S-01,1747.3,2025-01-01 03:30:00,273.8,116.76,102.0,ug/m3,FAULT,"19.0753,72.877",Stack,False,False,False,EXCEEDANCE
E00144,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00145,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00146,PL-03,S-03,1054.5,2025-01-01 03:30:00,273.8,275.7,267.0,ug/m3,FAULT,"12.9726,77.595",Stack,False,False,False,EXCEEDANCE
E00147,LOC-DEL-01,A-01,0.0,2025-01-01 03:30:00,102.2,207.9,168.0090909090909,ug/m3,OK,"28.6134,77.2098",Ambient,False,False,True,EXCEEDANCE
E00148,LOC-DEL-02,A-02,,2025-01-01 03:30:00,78.59,143.84,147.68,ug/m3,OK,"28.6194,77.2154",Ambient,False,False,False,EXCEEDANCE
E00149,LOC-MUM-01,A-01,0.0,2025-01-01 03:30:00,64.02,1.08,164.12,ug/m3,FAULT,"19.0769,72.8775",Ambient,False,False,False,EXCEEDANCE
E00150,LOC-BLR-01,A-01,0.0,2025-01-01 03:30:00,147.3,275.7,109.6,ug/m3,OK,"12.9709,77.5954",Ambient,False,False,False,EXCEEDANCE
E00151,PL-01,S-01,3935.1,2025-01-01 03:45:00,122.84,131.7,157.75,ug/m3,FAULT,"13.0819,80.2704",Stack,False,True,False,OK
E00152,PL-01,S-02,2698.6,2025-01-01 03:45:00,221.12,45.61,271.94,ug/m3,OK,"13.0824,80.2704",Stack,False,False,False,EXCEEDANCE
E00153,PL-02,S-01,4559.1,2025-01-01 03:45:00,111.43,2.86,130.38,ug/m3,OK,"19.077,72.8786",Stack,False,False,False,OK
E00154,PL-03,S-01,1541.8,2025-01-01 03:45:00,61.82,153.18,162.36,ug/m3,MAINT,"12.9716,77.5936",Stack,False,False,False,OK
E00155,PL-03,S-02,3406.1,2025-01-01 03:45:00,107.4,141.8,14.9,ug/m3,MAINT,"12.9715,77.5941",Stack,False,False,False,OK
E00156,PL-03,S-03,4660.5,2025-01-01 03:45:00,72.28,96.34,68.42,ug/m3,MAINT,"12.9724,77.594",Stack,False,False,False,OK
E00157,LOC-DEL-01,A-01,0.0,2025-01-01 03:45:00,273.8,133.9,239.1,ug/m3,FAULT,"28.6134,77.21",Ambient,False,False,False,EXCEEDANCE
E00158,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00159,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00160,LOC-BLR-01,A-01,0.0,2025-01-01 03:45:00,232.6,229.95,96.7,ug/m3,OK,"12.9725,77.5949",Ambient,False,True,False,EXCEEDANCE
E00161,PL-01,S-01,4010.9,2025-01-01 04:00:00,118.24,150.46,71.18,ug/m3,MAINT,"13.0824,80.2699",Stack,False,True,False,OK
E00162,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00163,PL-02,S-01,1739.4,2025-01-01 04:00:00,157.43,67.14,63.9,ug/m3,MAINT,"19.0756,72.8774",Stack,False,False,False,EXCEEDANCE
E00164,,,,,,,,ug/m3,GAP_FILLED,,Unknown,False,False,False,OK
E00165,PL-03,S-02,2691.0,2025-01-01 04:00:00,161.8,187.5,14.9,ug/m3,MAINT,"12.9714,77.5957",Stack,False,False,False,EXCEEDANCE
E00166,PL-03,S-03,2207.7,2025-01-01 04:00:00,178.12,146.96181818181816,198.02,ug/m3,FAULT,"12.9726,77.595",Stack,False,True,False,EXCEEDANCE
E00167,LOC-DEL-01,A-01,,2025-01-01 04:00:00,273.8,275.7,999.9,ug/m3,FAULT,"28.6133,77.2086",Ambient,False,False,False,EXCEEDANCE
E00168,LOC-DEL-02,A-02,0.0,2025-01-01 04:00:00,41.82,140.1,123.94,ug/m3,FAULT,"28.6203,77.2153",Ambient,False,False,False,EXCEEDANCE
E00169,LOC-MUM-01,A-01,,2025-01-01 04:00:00,113.53,147.25,267.0,ug/m3,OK,"19.0769,72.877",Ambient,False,False,False,EXCEEDANCE
E00170,LOC-BLR-01,A-01,,2025-01-01 04:00:00,271.0,184.2,55.75,ug/m3,OK,"12.971,77.5938",Ambient,False,False,True,EXCEEDANCE
E00171,PL-01,S-01,2404.0,2025-01-01 04:15:00,99.22,169.22,139.71,ug/m3,OK,"13.0831,80.2698",Stack,False,False,False,OK
