Record_ID,Plant_ID,Stack_ID,Flow_Rate_m3_hr,TS,PM2.5,SO2,NOx,Unit,Status,Lat_Lon
E00045,PL-03,S-02,4068.3,01-03-2026 01:00,107.6,75.1,107.8,ug/m3,OK,"12.9715,77.5957"
E00046,PL-03,S-03,3596.6,01-03-2026 01:00,161.4,18.3,191.3,µg/m³,Error 404,"12.9726,77.5942"
E00047,LOC-DEL-01,A-01,0,01-03-2026 01:00,97.1,44.6,BDL,ug/m3,OK,"28.6132,77.2085"
E00048,LOC-DEL-02,A-02,0,01-03-2026 01:00,54.8,123.0,149.1,ug/m3,MAINT,"28.6207,77.2142"
E00049,LOC-MUM-01,A-01,0,01-03-2026 01:00,< 1.0,147.7,35.8,ug/m3,down,"19.0759,72.8773"
E00050,LOC-BLR-01,A-01,0,01-03-2026 01:00,<1.0,<2.0,176.8,ug/m3,DOWN  ,"12.9706,77.595"
E00051,PL-01,S-01,4493.6,01-03-2026 01:15,125.8,190.0,192.7,mg/Nm3,OK,"13.0818,80.2713"
E00052,PL-01,S-02,2508.9,01-03-2026 01:15,78.4,BDL,137.0,ug/m3,FAULT,"13.0837,80.2721"
E00053,PL-02,S-01,2313.8,01-03-2026 01:15,156.9,124.4,< 5.0,µg/m³,MAINT,"19.0758,72.8785"
E00054,PL-03,S-01,4870.8,01-03-2026 01:15,235.2,88.2,141.4,mg/Nm3, ok ,"12.9715,77.5947"
E00055,PL-03,S-02,4205.5,01-03-2026 01:15,51.9,BDL,125.1,ug/m3,MAINT,"12.9716,77.5945"
E00056,PL-03,S-03,1862.7,01-03-2026 01:15,218.8,118.7,186.2,ug/m3,error,"12.9717,77.5941"
E00058,LOC-DEL-02,A-02,0,01-03-2026 01:15,108.2,107.8,215.9,ug/m3,FAULT,"28.6209,77.2143"
E00059,LOC-MUM-01,A-01,0.0,01-03-2026 01:15,52.9,< 2.0,221.8,ug/m3,FAULT,"19.0751,72.8768"
E00060,LOC-BLR-01,A-01,0,01-03-2026 01:15,179.4,153.6,BDL,ug/m3,MAINT,"12.9722,77.5946"
E00061,PL-01,S-01,2357.9,28-02-2026 24:30,189.0,106.2,113.2,ug/m3,error,"13.0821,80.2697"
E00062,PL-01,S-02,4125.3,01-03-2026 01:30,145.6,73.6,121.7,ug/m3,MAINT,"13.0828,80.2713"
E00063,PL-02,S-01,2939.1,01-03-2026 01:30,130.9,171.8,128.6,ug/m3,ok ,"19.0763,72.878"
E00064,PL-03,S-01,3113.1,01-03-2026 01:30,115.9,82.1,7777.0,µg/m³,MAINT,"12.9724,77.5937"
E00065,PL-03,S-02,2075.9,01-03-2026 01:30,220.5,177.4,213.0,µg/m³, ok ,"77.595,12.972"
E00066,PL-03,S-03,1533.4,28-02-2026 20:00 UTC,91.4,BDL,215.3,µg/m³,FAULT,"12.9708,77.5941"
E00067,LOC-DEL-01,A-01,0,01-03-2026 01:30,167.1,252.2,-9.3,ug/m3,down,"28.6147,77.2081"
E00068,LOC-DEL-02,A-02,NULL,01-03-2026 01:30,149.0,140.9,122.7,ug/m3,MAINT,"28.6193,77.2153"
E00069,LOC-MUM-01,A-01,NULL,01-03-2026 01:30,< 1.0,185.2,62.4,ug/m3, ok ,"19.0763,72.8775"
E00070,LOC-BLR-01,A-01,0.0,01-03-2026 01:30,-4.2,131.6,69.1,ug/m3,FAULT,"12.9724,77.5949"
E00071,PL-01,S-01,4466.9,01-03-2026 01:45,121.4,66.8,70.2,ug/m3,MAINT,"13.083,80.2701"
E00072,PL-01,S-02,2119.6,01-03-2026 01:45,55.5,161.2,117.2,ug/m3,OK,"13.0828,80.2721"
E00073,PL-02,S-01,2353.7,01-03-2026 01:45,172.8,108.6,136.7,ug/m3,OFFLINE,"19.077,72.877"
E00074,PL-03,S-01,2307.5,01-03-2026 01:45,15.0,155.8,121.0,ug/m3,MAINT,"12.9713,77.5937"
E00075,PL-03,S-02,1872.5,01-03-2026 01:45,155.4,82.7,39.7,mg/Nm3,OK,"12.9712,77.5959"
E00076,PL-03,S-03,1381.7,01-03-2026 01:45,31.0,191.7,176.0,ug/m3,MAINT,"12.9711,77.5955"
E00077,LOC-DEL-01,A-01,,01-03-2026 01:45,79.7,46.0,92.3,ug/m3,MAINT,"28.6148,77.2085"
E00078,LOC-DEL-02,A-02,,01-03-2026 01:45,225.3,94.7,182.5,ug/m3, ok ,"28.6209,77.215"
E00079,LOC-MUM-01,A-01,0,01-03-2026 01:45,117.9,89.4,6500.0,ug/m3,MAINT,"19.0769,72.8787"
E00080,LOC-BLR-01,A-01,,01-03-2026 01:45,58.5,93.8,177.8,ug/m3,maintenance,"12.9719,77.5947"
E00081,PL-01,S-01,2227.0,01-03-2026 02:00,200.9,69.4,164.0,mg/Nm3,  MAINT ,"13.0828,80.271"
E00082,PL-01,S-02,1076.4,01-03-2026 02:00,107.2,100.7,62.6,ug/m3,MAINT,"13.0838,80.272"
E00083,PL-02,S-01,2631.2,01-03-2026 02:00,33.1,167.3,68.8,ug/m3,FAULT,"19.0765,72.8782"
E00084,PL-03,S-01,1895.4,01-03-2026 02:00,73.9,25.4,89.3,ug/m3,MAINT,"12.9708,77.5938"
E00085,PL-03,S-02,2350.6,28-02-2026 24:00,221.7,76.7,147.1,ug/m3, maint,"12.9725,77.5947"
E00087,LOC-DEL-01,A-01,NULL,01-03-2026 02:00,248.1,112.7,-9.8,ug/m3,FAULT,"28.6129,77.209"
E00088,LOC-DEL-02,A-02,0,01-03-2026 02:00,-14.9,172.6,170.3,mg/Nm3,FAULT,"28.619,77.2142"
E00089,LOC-MUM-01,A-01,0,01-03-2026 02:00,94.4,36.9,< 2.0,ug/m3,FAULT,"19.0766,72.8782"
E00090,LOC-BLR-01,A-01,,01-03-2026 02:00,< 1.0,115.2,186.2,ug/m3,error,"12.9722,77.5945"
E00091,PL-01,S-01,1584.9,01-03-2026 02:15,84.7,69.3,205.3,ug/m3,Error 404,"13.082,80.2713"
E00092,PL-01,S-02,1394.2,01-03-2026 02:15,130.2,63.2,-6.4,ug/m3,MAINT,"13.0838,80.2719"
E00093,PL-02,S-01,2178.9,01-03-2026 02:15,61.1,111.6,84.7,µg/m³,MAINT,"19.0763,72.878"
E00094,PL-03,S-01,1543.3,01-03-2026 02:15,214.0,-11.3,40.1,ug/m3,ok ,"12.9718,77.594"
E00095,PL-03,S-02,3954.7,01-03-2026 02:15,127.5,93.1,249.2,ug/m3,FAULT,"12.9728,77.596"
E00096,PL-03,S-03,2302.7,01-03-2026 02:15,169.2,60.0,190.3,ug/m3,down,"12.9718,-999.0"
E00097,LOC-DEL-01,A-01,0.0,01-03-2026 02:15,152.5,137.2,133.8,ug/m3,DOWN  ,"28.6148,77.2098"
E00098,LOC-DEL-02,A-02,NULL,01-03-2026 02:15,194.8,155.0,214.1,ug/m3,OK,"28.6193,77.2153"
E00099,LOC-MUM-01,A-01,0,01-03-2026 02:15,83.0,186.4,160.0,ug/m3,OK,"19.0756,72.8781"
E00100,LOC-BLR-01,A-01,,01-03-2026 02:15,BDL,144.1,8500.0,ug/m3,OK,"12.9725,77.5944"
E00101,PL-01,S-01,4454.2,01-03-2026 02:30,75.4,31.7,-8.9,ug/m3,offline,"13.0821,80.2707"
E00102,PL-01,S-02,4058.6,01-03-2026 02:30,146.4,15.0,15.0,ug/m3,maintenance,"13.083,80.2707"
E00103,PL-02,S-01,1458.4,01-03-2026 02:30,119.7,150.3,83.3,ug/m3,FAULT,"19.0751,72.8784"
E00105,PL-03,S-02,4449.7,01-03-2026 02:30,<5.0,-2.5,69.6,mg/Nm3,Error 404,"12.9712,77.5956"
E00106,PL-03,S-03,2844.3,01-03-2026 02:30,120.1,78.4,134.6,ug/m3,FAULT,"12.9718,77.5958"
E00107,LOC-DEL-01,A-01,0.0,01-03-2026 02:30,229.5,BDL,97.2,mg/Nm3,FAULT,"28.6142,77.2099"
E00108,LOC-DEL-02,A-02,0.0,28-02-2026 21:00 UTC,18.9,146.2,< 2.0,mg/Nm3,FAULT,"28.6201,77.2158"
E00109,LOC-MUM-01,A-01,NULL,01-03-2026 02:30,85.7,111.4,78.2,ug/m3,OK,"19.0757,72.8781"
E00110,LOC-BLR-01,A-01,NULL,01-03-2026 02:30,187.7,102.1,185.2,ug/m3,OK,"12.9717,77.5944"
E00111,PL-01,S-01,3960.5,01-03-2026 02:45,78.0,193.0,193.7,ug/m3,MAINT,"13.0825,80.2716"
E00112,PL-01,S-02,1177.7,01-03-2026 02:45,101.1,129.7,146.2,mg/Nm3,OFFLINE,"13.0833,80.2719"
E00113,PL-02,S-01,2271.8,01-03-2026 02:45,91.6,6500.0,191.2,ug/m3, fault ,"19.0752,72.8778"
E00114,PL-03,S-01,3308.8,01-03-2026 02:45,53.3,140.6,205.8,ug/m3,MAINT,"12.9725,77.5938"
E00115,PL-03,S-02,3243.8,28-02-2026 24:45,96.4,108.6,101.6,ug/m3,OK,"12.9711,77.5955"
E00116,PL-03,S-03,1811.3,01-03-2026 02:45,316.7,189.9,15.0,ug/m3,MAINT,"12.9709,77.5955"
E00117,LOC-DEL-01,A-01,0.0,01-03-2026 02:45,8500.0,123.7,162.1,ug/m3, ok ,"28.6134,77.2087"
E00118,LOC-DEL-02,A-02,0,01-03-2026 02:45,99.9,106.0,-6.3,ug/m3,offline,"28.6204,77.2151"
E00119,LOC-MUM-01,A-01,0.0,01-03-2026 02:45,98.1,78.2,308.2,ug/m3,MAINT,"19.0753,72.8767"
E00120,LOC-BLR-01,A-01,,01-03-2026 02:45,15.0,113.9,BDL,mg/Nm3,  OK  ,"12.9715,77.5939"
E00121,PL-01,S-01,3339.2,01-03-2026 03:00,113.1,147.0,77.2,µg/m³,MAINT,"13.0826,80.27"
E00122,PL-01,S-02,1880.0,01-03-2026 03:00,153.6,112.2,133.9,ug/m3,MAINT,"13.0837,80.2721"
E00123,PL-02,S-01,3144.8,01-03-2026 03:00,165.3,153.7,241.9,ug/m3,OK,"19.0764,72.8774"
E00124,PL-03,S-01,1488.2,01-03-2026 03:00,59.6,42.6,52.0,ug/m3,FAULT,"12.9711,77.5939"
E00125,PL-03,S-02,1812.3,01-03-2026 03:00,131.6,< 5.0,57.6,ug/m3,FAULT,"12.9716,77.5942"
E00126,PL-03,S-03,1905.0,01-03-2026 03:00,155.4,116.6,19.9,ug/m3,MAINT,"12.9727,77.5948"
E00127,LOC-DEL-01,A-01,0,01-03-2026 03:00,139.4,213.9,246.7,mg/Nm3,FAULT,"28.6146,77.2085"
E00128,LOC-DEL-02,A-02,NULL,01-03-2026 03:00,82.2,<2.0,243.2,ug/m3,OK,"28.621,77.2144"
E00129,LOC-MUM-01,A-01,0,01-03-2026 03:00,187.4,185.4,248.7,ug/m3,MAINT,"19.0752,72.8783"
E00130,LOC-BLR-01,A-01,NULL,01-03-2026 03:00,144.1,150.8,204.6,ug/m3,MAINT,"12.9725,77.5945"
E00131,PL-01,S-01,4662.9,01-03-2026 03:15,79.2,6500.0,109.6,ug/m3,MAINT,"13.0837,80.2703"
E00132,PL-01,S-02,2988.6,28-02-2026 24:15,166.2,174.9,105.9,ug/m3,FAULT,"13.0836,80.2721"
E00133,PL-02,S-01,2050.5,01-03-2026 03:15,54.6,82.4,131.5,mg/Nm3,OFFLINE,"19.0752,72.877"
E00134,PL-03,S-01,1788.0,01-03-2026 03:15,20.6,224.3,-11.6,ug/m3,MAINT,"12.9709,77.5945"
E00135,PL-03,S-02,2990.0,28-02-2026 21:45 UTC,126.9,166.6,139.4,mg/Nm3,MAINT,"12.9719,77.5948"
E00137,LOC-DEL-01,A-01,0,01-03-2026 03:15,30.6,173.0,197.4,ug/m3,  OK  ,"28.6137,77.2096"
E00139,LOC-MUM-01,A-01,0,01-03-2026 03:15,139.7,21.3,67.3,ug/m3,OK,"19.0768,72.8773"
E00140,LOC-BLR-01,A-01,,01-03-2026 03:15,73.1,141.9,108.0,ug/m3,Error 404,"12.9707,77.594"
E00141,PL-01,S-01,1092.8,28-02-2026 22:00 UTC,90.1,149.3,188.0,ug/m3,FAULT,"13.0821,80.271"
E00142,PL-01,S-02,1274.5,01-03-2026 03:30,105.5,BDL,135.1,ug/m3, ok ,"13.0833,80.2722"
E00143,PL-02,S-01,4410.5,01-03-2026 03:30,196.3,223.5,-10.4,ug/m3,MAINT,"19.0753,72.8783"
E00144,PL-03,S-01,3092.8,01-03-2026 03:30,-1.6,77.5,139.5,ug/m3,MAINT,"12.9724,77.5951"
E00145,PL-03,S-02,3913.8,01-03-2026 03:30,70.9,164.5,189.1,mg/Nm3,OK,"12.9718,77.5953"
E00146,PL-03,S-03,1455.3,01-03-2026 03:30,144.3,100.7,166.5,µg/m³, fault ,"12.9712,77.5946"
E00147,LOC-DEL-01,A-01,0.0,01-03-2026 03:30,149.1,173.5,99.6,ug/m3, maint,28.6139;77.209
E00148,LOC-DEL-02,A-02,0.0,01-03-2026 03:30,106.2,202.9,98.3,µg/m³,  MAINT ,"28.6207,77.2153"
E00149,LOC-MUM-01,A-01,0.0,01-03-2026 03:30,173.6,133.7,175.7,µg/m³,OK,"19.0766,72.877"
E00150,LOC-BLR-01,A-01,,01-03-2026 03:30,28.2,<2.0,116.1,ug/m3,maintenance,"12.9717,77.5944"
E00151,PL-01,S-01,2203.4,28-02-2026 22:15 UTC,149.5,138.2,218.4,ug/m3,OK,"13.083,80.2713"
E00152,PL-01,S-02,3240.3,01-03-2026 03:45,142.1,115.3,117.5,ug/m3,OK,"13.0828,80.2719"
E00153,PL-02,S-01,4093.7,01-03-2026 03:45,122.0,214.8,72.0,ug/m3,OK,"19.0766,72.8781"
E00154,PL-03,S-01,1059.5,01-03-2026 03:45,86.3,47.1,198.3,ug/m3,OK,"12.9724,77.5942"
E00155,PL-03,S-02,1487.2,01-03-2026 03:45,182.7,15.0,197.1,ug/m3,OK,"12.9714,77.5955"
E00156,PL-03,S-03,1385.0,01-03-2026 03:45,152.4,119.0,151.2,ug/m3,FAULT,"12.972,77.5954"
E00157,LOC-DEL-01,A-01,0,01-03-2026 03:45,224.4,180.4,195.7,ug/m3, maint,"28.6135,77.21"
E00158,LOC-DEL-02,A-02,,01-03-2026 03:45,178.6,<2.0,100.8,ug/m3, fault ,"28.6199,77.2145"
E00159,LOC-MUM-01,A-01,0.0,01-03-2026 03:45,111.3,137.3,128.6,ug/m3,FAULT,"19.0763,72.878"
E00160,LOC-BLR-01,A-01,NULL,01-03-2026 03:45,194.9,77.0,222.1,ug/m3, fault ,"12.9713,77.5955"
E00161,PL-01,S-01,4631.1,01-03-2026 04:00,-8.3,84.6,148.1,ug/m3,FAULT,"13.0827,80.2707"
E00162,PL-01,S-02,2529.9,01-03-2026 04:00,52.7,167.6,112.5,ug/m3,FAULT,"13.0823,80.2706"
E00163,PL-02,S-01,2524.7,01-03-2026 04:00,130.6,<5.0,130.3,ug/m3,MAINT,"19.0769,72.8772"
E00164,PL-03,S-01,3831.6,01-03-2026 04:00,139.9,149.6,142.0,ug/m3,OK,"12.9707,77.5953"
E00165,PL-03,S-02,1162.7,01-03-2026 04:00,100.1,< 5.0,-1.4,ug/m3,  MAINT ,"12.9721,77.5949"
E00166,PL-03,S-03,1630.7,01-03-2026 04:00,BDL,6500.0,78.8,ug/m3,FAULT,"12.9709,77.5945"
E00167,LOC-DEL-01,A-01,0.0,01-03-2026 04:00,-2.8,201.1,-9.4,ug/m3, fault ,"28.6133,77.2098"
E00168,LOC-DEL-02,A-02,0,01-03-2026 04:00,157.0,78.1,15.0,ug/m3,MAINT,"28.6192,77.2148"
E00169,LOC-MUM-01,A-01,0.0,01-03-2026 04:00,BDL,129.9,80.7,ug/m3,maintenance,"19.0764,72.8777"
E00170,LOC-BLR-01,A-01,0,01-03-2026 04:00,7777.0,56.9,193.3,ug/m3,down,"12.972,77.5952"
E00171,PL-01,S-01,4750.5,01-03-2026 04:15,-9.7,38.2,169.5,µg/m³, fault ,"13.0826,80.2714"
E00172,PL-01,S-02,3067.9,01-03-2026 04:15,-7.7,141.1,101.5,ug/m3,MAINT,"13.0828,80.2715"
E00174,PL-03,S-01,2980.8,01-03-2026 04:15,113.4,156.8,130.1,ug/m3,ok ,"12.9713,77.5946"
E00175,PL-03,S-02,4965.2,01-03-2026 04:15,165.8,100.9,BDL,ug/m3,MAINT,"12.9725,77.5941"
E00176,PL-03,S-03,1528.4,01-03-2026 04:15,216.0,199.4,< 5.0,ug/m3,FAULT,"12.9709,77.5954"
E00177,LOC-DEL-01,A-01,0,01-03-2026 04:15,64.3,160.6,83.4,ug/m3,OK,"28.6139,77.2099"
E00179,LOC-MUM-01,A-01,0.0,28-02-2026 24:15,BDL,212.7,248.8,ug/m3,OK,"19.0769,72.8767"
E00180,LOC-BLR-01,A-01,0.0,01-03-2026 04:15,93.9,147.0,74.7,mg/Nm3,FAULT,"12.9726,77.5947"
E00181,PL-01,S-01,3460.6,01-03-2026 04:30,115.2,202.3,86.2,ug/m3,FAULT,"13.0821,80.2711"
E00182,PL-01,S-02,2272.4,01-03-2026 04:30,174.9,122.9,8500.0,ug/m3,MAINT,"13.083,80.2717"
E00183,PL-02,S-01,2781.1,01-03-2026 04:30,184.1,15.0,74.4,ug/m3,OFFLINE,"19.0765,72.8773"
E00184,PL-03,S-01,3561.9,01-03-2026 04:30,-10.9,129.8,7777.0,ug/m3,FAULT,"12.9712,77.594"
E00185,PL-03,S-02,4475.1,01-03-2026 04:30,201.1,78.4,131.0,µg/m³,MAINT,"12.9712,77.5949"
E00186,PL-03,S-03,4407.8,01-03-2026 04:30,106.2,254.0,74.7,ug/m3,MAINT,"12.9711,77.5942"
E00187,LOC-DEL-01,A-01,,01-03-2026 04:30,155.0,343.6,40.5,ug/m3,FAULT,"28.6135,77.2082"
E00188,LOC-DEL-02,A-02,NULL,01-03-2026 04:30,228.0,99.2,148.1,µg/m³,error,"28.62,77.2144"
E00189,LOC-MUM-01,A-01,,01-03-2026 04:30,7777.0,88.1,260.8,ug/m3,OK,"19.0763,72.877"
E00190,LOC-BLR-01,A-01,0,28-02-2026 23:00 UTC,144.5,129.2,42.4,ug/m3,OK,"12.9709,77.5945"
E00191,PL-01,S-01,1482.0,01-03-2026 04:45,15.0,175.7,156.1,ug/m3,Error 404,"13.0821,80.2707"
E00192,PL-01,S-02,1786.4,01-03-2026 04:45,49.8,24.9,153.6,ug/m3,MAINT,"13.0829,80.2707"
E00193,PL-02,S-01,4257.0,01-03-2026 04:45,213.0,165.6,136.5,ug/m3,Error 404,"19.0765,72.8782"
E00194,PL-03,S-01,4066.2,01-03-2026 04:45,76.9,BDL,231.6,ug/m3,MAINT,"12.9725,77.5954"
E00195,PL-03,S-02,4175.8,01-03-2026 04:45,7777.0,74.3,224.3,ug/m3,MAINT,"12.9711,77.5953"
E00196,PL-03,S-03,4646.7,01-03-2026 04:45,121.3,104.7,43.9,ug/m3,OK,"12.971,77.5945"
E00197,LOC-DEL-01,A-01,,01-03-2026 04:45,54.0,191.7,84.4,mg/Nm3,MAINT,"28.6131,77.208"
E00198,LOC-DEL-02,A-02,0,01-03-2026 04:45,145.5,133.3,212.5,ug/m3,OK,"28.62,77.2144"
E00199,LOC-MUM-01,A-01,0.0,01-03-2026 04:45,210.6,107.2,152.5,ug/m3,Error 404,"19.076,72.8778"
E00200,LOC-BLR-01,A-01,0.0,28-02-2026 24:45,153.5,-14.1,102.8,ug/m3,OK,"12.9715,77.594"
E00201,PL-01,S-01,3073.0,01-03-2026 05:00,113.6,206.0,188.8,ug/m3,FAULT,"13.0826,80.2711"
E00202,PL-01,S-02,1388.4,28-02-2026 24:00,19.0,165.1,126.6,ug/m3,MAINT,"13.082,80.2713"
E00203,PL-02,S-01,1428.6,01-03-2026 05:00,100.6,187.8,110.5,ug/m3,MAINT,"19.076,72.8786"
E00204,PL-03,S-01,3761.7,01-03-2026 05:00,200.5,143.6,178.3,mg/Nm3,DOWN  ,"12.9725,77.5939"
E00205,PL-03,S-02,3600.0,01-03-2026 05:00,174.4,114.0,127.8,ug/m3,MAINT,"12.9723,77.5946"
E00206,PL-03,S-03,3515.0,01-03-2026 05:00,31.5,95.7,157.0,µg/m³,MAINT,"12.9727,77.5958"
E00207,LOC-DEL-01,A-01,NULL,01-03-2026 05:00,56.9,149.5,94.3,ug/m3,OK,"28.6147,77.2089"
E00208,LOC-DEL-02,A-02,,01-03-2026 05:00,-10.1,116.1,-9.8,ug/m3,error,"28.6209,77.2149"
E00209,LOC-MUM-01,A-01,,01-03-2026 05:00,<1.0,9999.0,164.5,mg/Nm3,OFFLINE,"19.0769,72.8774"
E00210,LOC-BLR-01,A-01,NULL,28-02-2026 24:00,69.7,131.1,123.4,ug/m3,FAULT,"12.9723,77.5946"
E00211,PL-01,S-01,3488.4,01-03-2026 05:15,59.9,98.3,102.5,mg/Nm3, fault ,"13.0822,80.2712"
E00212,PL-01,S-02,3843.1,01-03-2026 05:15,92.3,171.3,45.3,ug/m3,  OK  ,"13.0822,80.2705"
E00213,PL-02,S-01,4631.3,01-03-2026 05:15,15.0,104.8,15.0,ug/m3, maint,"19.0768,72.8781"
E00214,PL-03,S-01,4196.1,28-02-2026 24:15,67.8,124.2,189.2,ug/m3,MAINT,"12.9708,77.595"
E00215,PL-03,S-02,1078.4,01-03-2026 05:15,194.8,172.9,94.0,ug/m3,MAINT,"12.9717,77.5944"
E00216,PL-03,S-03,3256.9,01-03-2026 05:15,178.6,-6.6,16.4,ug/m3,maintenance,"12.9727,77.5957"
E00217,LOC-DEL-01,A-01,0.0,28-02-2026 24:15,73.6,168.7,162.8,ug/m3,FAULT,"28.6143,77.21"
E00219,LOC-MUM-01,A-01,,01-03-2026 05:15,118.6,130.1,80.2,ug/m3,ok ,"19.0761,72.8778"
E00220,LOC-BLR-01,A-01,,01-03-2026 05:15,292.3,50.8,88.4,ug/m3, maint,"12.9716,77.5937"
E00221,PL-01,S-01,3498.9,01-03-2026 05:30,74.5,16.2,151.5,ug/m3,FAULT,"13.0821,80.27"
E00222,PL-01,S-02,1645.6,01-03-2026 05:30,15.0,117.3,82.4,ug/m3,MAINT,"13.0832,80.2709"
E00223,PL-02,S-01,3125.2,01-03-2026 05:30,156.3,-3.9,193.0,ug/m3,FAULT,"19.0755,72.8772"
E00224,PL-03,S-01,3647.8,01-03-2026 05:30,211.4,120.4,55.6,ug/m3,FAULT,"12.9712,77.5939"
E00225,PL-03,S-02,2341.2,01-03-2026 05:30,164.9,108.6,90.3,ug/m3,FAULT,"12.9728,77.5945"
